date,members,notes
2012-02-01,0,San Diego Python reboots with a presentation at Co-Merge
2012-03-01,63,
2012-04-01,82,
2012-05-01,95,
2012-06-01,103,
2012-07-01,116,
2012-08-01,129,
2012-09-01,147,
2012-10-01,182,Intro to Python Workshop
2012-11-01,203,First Django Workshop
2012-12-01,225,
2013-01-01,236,Intro to Python Workshop
2013-02-01,259,Django Day Workshop
2013-03-01,274,
2013-04-01,307,Python For Data Analysis Workshop
2013-05-01,346,
2013-06-01,363,
2013-07-01,380,
2013-08-01,401,
2013-09-01,420,
2013-10-01,439,
2013-11-01,458,Test Driven Django Development Workshop
2013-12-01,473,
2014-01-01,480,
2014-02-01,510,
2014-03-01,535,Saturday Study Group Kicks Off; Django TDD Workshop
2014-04-01,557,
2014-05-01,578,Danny Greenfeld presents at SD Python
2014-06-01,591,
2014-07-01,616,
2014-08-01,651,
2014-09-01,681,Intro to Python Workshop
2014-10-01,720,
2014-11-01,745,
2014-12-01,779,
2015-01-01,803,
